#=================================================================
# O365 Home - Buy
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Paid Orders_SJ (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
727700a0464749e288e0876ad0182c08,0,0,1,1,0,0,1,0,1,0,0,0,649,,78,0,0,0,0,0,19,0
492beb66003946f39886f578839661d9,0,0,1,1,0,0,1,0,1,0,0,0,384,10.5,33,0,0,0,0,1,0,0
565e3069042c49b6aa19ac813fdb132d,0,0,1,1,0,0,1,0,1,0,0,0,368,,24,0,0,0,0,0,0,0
cd0e5549cd2e46f1a2118f967019b396,0,0,1,1,0,0,1,0,1,0,0,0,346,,26,0,0,0,0,0,0,0
62910e266a7145c193a240936a3539f3,0,0,1,1,0,0,1,0,1,0,0,0,326,22,91,0,0,0,0,0,0,0
bf8b52eeed0f4e04a31833c86145e0ab,0,0,1,1,0,0,1,0,1,0,0,0,251,12,45,0,0,0,0,1,0,0
85e13124dc564604bcf94dcfdd48ea4c,0,0,1,1,0,0,1,0,1,0,0,0,223,,32,0,0,0,0,0,0,0
6afc43cc57594bd58b1357abaea3b5f9,0,0,1,1,0,0,1,0,1,0,0,0,163,,2,0,0,0,0,0,0,0
d97d9c7e98874a558bf5047105b1367e,0,0,1,1,0,0,1,0,1,0,0,0,123,,2,0,0,0,0,0,0,0
26b17331fb284b5c959ba27e8797cb46,0,0,1,1,0,0,1,0,1,0,0,0,65,,5,0,0,0,0,0,0,0
50f074e6a39844b0bbe065d3d0892416,0,0,1,1,0,0,1,0,1,0,0,0,4,,1,0,0,0,0,0,0,0
27bc832eb9da4b48a6f2437ef87a3587,0,0,1,1,0,0,1,0,1,0,0,0,,,5,0,0,0,0,0,0,0
ee12342247a84f49824e4a5a0990b0a6,0,0,1,1,0,0,1,0,0,1,0,0,656,,44,0,0,0,0,0,0,0
f539a46d39a84037af0bd66d95c01b77,0,0,1,1,0,0,1,0,0,1,0,0,568,,77,0,0,0,0,0,0,0
f13a758a71f94634a77a5b66e2c5aefc,0,0,1,1,0,0,1,0,0,1,0,0,316,,11,0,0,0,0,0,0,0
44fea96194dc49099da1e7bb273ca7cf,0,0,1,1,0,0,1,0,0,1,0,0,214,9,2,0,0,0,0,0,0,0
9aedee92bcdd46c9a4cdb046bbdcde0a,0,0,1,1,0,0,1,0,0,1,0,0,117,,16,0,0,0,0,0,0,0
21ea0473cc794a75a7cfcfe5a915516e,0,0,1,1,0,0,1,0,0,1,0,0,92,,9,0,0,0,0,0,0,0
42745a75f2494c999bd884905e9a7dad,0,0,1,1,0,0,1,0,0,1,0,0,29,,4,0,0,0,0,0,0,0
b54deb436d5444619a60c946b1a4fe52,0,0,1,1,0,0,1,0,0,1,0,0,22,,2,0,0,0,0,0,0,0
7d6410e9e506404b9015beda8bc48723,0,0,1,1,0,0,1,0,0,1,0,0,15,,0,0,0,0,0,0,0,0
8a42768c51c34dfcbbdca31afa17b46f,0,0,1,1,0,0,1,0,0,1,0,0,11,,1,0,0,0,0,0,0,0
d5ee7f5590944e13a1621541aa8ba566,0,0,1,1,0,0,1,0,0,1,0,0,2,,2,0,0,0,0,0,0,0
0e42912647484cb2b18865f1548e9fd9,0,0,1,1,0,0,1,0,0,1,0,0,,,9,0,0,0,0,0,0,0
f0be964e413f49f3a247b712bac697d5,0,0,1,1,0,0,1,0,0,1,0,0,,,5,0,0,0,0,0,0,0
657420bada374443b8f9f9adc3edd15e,0,0,1,1,0,0,1,0,0,0,1,0,2760,,100,0,0,0,0,1,0,0
b8ee30189d0f4d97b77a1f06db62447b,0,0,1,1,0,0,1,0,0,0,1,0,829,,42,0,0,0,0,1,0,0
263343294a0b413cbf6068a94eee568a,0,0,1,1,0,0,1,0,0,0,1,0,477,26,52,0,0,0,0,1,0,0
b40b116388ff42f38908d50bf0f00f9c,0,0,1,1,0,0,1,0,0,0,1,0,420,,35,0,0,0,0,0,0,0
bd62bac24a1448308b2190f03d7dde79,0,0,1,1,0,0,1,0,0,0,1,0,317,3,25,0,0,0,0,0,0,0
fcc2d8858cbca14a9b09900c3827f12e,0,0,1,1,0,0,1,0,0,0,1,0,305,,9,0,0,0,0,0,0,0
11c614976faa484ca68ddfe1a345918d,0,0,1,1,0,0,1,0,0,0,1,0,298,,30,0,0,0,0,4,0,0
5cfc2edb35244ccfa6eb4f8179db57e0,0,0,1,1,0,0,1,0,0,0,1,0,37,,18,0,0,0,0,0,0,0
f5b5943190bb49e0a694b14569bb1bb0,0,0,1,1,0,0,1,0,0,0,1,0,30,,10,0,0,0,0,0,0,0
884693db138e4befb62ca56d9fa61a60,0,0,1,1,0,0,1,0,0,0,1,0,13,,4,0,0,0,0,0,0,0
caff96dae6cb46a68dda9ec36be82f8d,0,0,1,1,0,0,1,0,0,0,1,0,3,,1,0,0,0,0,0,0,0
1edd4dd08dac45578ad0971575e11ab8,0,0,1,1,0,0,1,0,0,0,1,0,,,2,0,0,0,0,0,0,0
2e6e46db894c471f998084f1c74740a0,0,0,1,1,0,0,1,0,0,0,0,1,1080,,66,0,0,0,0,0,0,0
d69f057c99b242b69108ae1f97447548,0,0,1,1,0,0,1,0,0,0,0,1,647,,6,0,0,0,0,0,0,0
8802e3262da0410187e2687cc3cd9ed9,0,0,1,1,0,0,1,0,0,0,0,1,459,,31,0,0,0,0,0,0,0
5b79a1f18a7d4ccf9fd29315535e511f,0,0,1,1,0,0,1,0,0,0,0,1,351,,31,0,0,0,0,0,0,0
e9cb53ddb8b947dc8ac019f778a94465,0,0,1,1,0,0,1,0,0,0,0,1,343,14,11,0,0,0,0,1,0,0
c3163ea83311452b9ce8b13fbb26c2a0,0,0,1,1,0,0,1,0,0,0,0,1,294,6.375,32,0,0,0,0,1,0,0
a7eaf0444b124cf8b9c97c77530ab1de,0,0,1,1,0,0,1,0,0,0,0,1,292,,88,0,0,0,0,0,0,0
d41dd9ffd2974d0fae42132c8db52b1c,0,0,1,1,0,0,1,0,0,0,0,1,220,,12,0,0,0,0,0,0,0
