,0
Paid Order Exists,0.10194805194805195
Try Exists,0.02727272727272727
Device Orders_Office,0.007792207792207792
Total Visits,1.0467532467532468
New Visitors,0.5376623376623376
Enter PDP from Office.com,0.05649350649350649
Enter PDP from Store,0.3
Average Time Spent on Page (seconds),98.46809556899085
Link Clicks (e4),19.78181818181818
Link Clicks on ReviewTab,0.013636363636363636
Link Clicks on FAQTab,0.013636363636363636
Link Clicks on AddtoCartButton,0.16948051948051948
Link Clicks on Trial link,0.11363636363636363
cluster3,1.0
