,0
Paid Order Exists,0.08823529411764706
Try Exists,0.029411764705882353
Device Orders_Office,0.0
Total Visits,1.088235294117647
New Visitors,0.4411764705882353
Enter PDP from Office.com,0.11764705882352941
Enter PDP from Store,0.29411764705882354
Average Time Spent on Page (seconds),175.01785714285714
Link Clicks (e4),23.441176470588236
Link Clicks on ReviewTab,0.029411764705882353
Link Clicks on FAQTab,0.029411764705882353
Link Clicks on AddtoCartButton,0.08823529411764706
Link Clicks on Trial link,0.0
cluster3,0.0
