#=================================================================
# O365 Personal - Try
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Free Revenue, Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
db171425c82b4df7841ac099b4c7bda2,0,1,1,1,0,0,0,0,1,0,0,0,307,,19,0,0,0,0,0,0,0
08fe9f7be83c4ca1a934d0f0f5da3c72,0,1,1,1,0,0,0,0,1,0,0,0,137,,20,0,0,0,0,0,0,0
0961bb378dc044fe9bab2949622daa63,0,1,1,1,0,0,0,0,1,0,0,0,32,,12,0,0,0,0,0,0,0
9ee8b6c0b804404abbc27170a044a59f,0,1,1,1,0,0,0,0,0,1,0,0,2137,24,144,0,0,0,0,0,8,0
173ca82fcff64b08ae9e7c5194cce7ec,0,1,1,1,0,0,0,0,0,1,0,0,1572,,7,0,0,0,0,0,0,0
0a687bfda4254bca826291ab53e49b21,0,1,1,1,0,0,0,0,0,1,0,0,823,,54,0,0,0,0,0,0,0
b474077318c84a8988cbbc372e7f3ad7,0,1,1,1,0,0,0,0,0,1,0,0,190,28,33,0,0,0,0,0,0,0
2961036a3dce4d80b857ef7b72be3d84,0,1,1,1,0,0,0,0,0,1,0,0,79,,20,0,0,0,0,0,0,0
342a75f57de440419b3032874c0b7210,0,1,1,0,1,1,0,0,1,0,0,0,126,,24,0,0,0,0,0,0,0
a7878dbb966e49eda3c36d04877bfbb5,0,1,1,0,1,1,0,0,0,1,0,0,1107,,33,0,0,0,0,0,0,0
44df6dbb74649c4681b702de96505098,0,1,1,0,1,1,0,0,0,0,1,0,27,,8,0,0,0,0,0,0,0
0e37b2c0d41d4fa4b61561c3f135e402,0,1,1,0,1,0,1,0,1,0,0,0,38,,15,0,0,0,0,0,0,0
0d94a55ee7174c609a8ca02639c9bbf4,0,1,1,0,1,0,1,0,0,1,0,0,620,,54,0,0,0,0,0,1,0
de1954cb3f34428999a3994f0b7d8ab9,0,1,1,0,1,0,1,0,0,1,0,0,229,,10,0,0,0,0,0,0,0
c558fbe5626c4b60bef71f78afb59604,0,1,1,0,1,0,1,0,0,0,0,1,516,,38,0,0,0,0,0,0,0
bdbbaed4062443dcafd84437c990893e,0,1,1,0,1,0,1,0,0,0,0,1,84,,19,0,0,0,0,0,2,0
b7f06326320b4f46a28652064db87149,0,1,1,0,1,0,1,0,0,0,0,1,10,,8,0,0,0,0,0,0,0
482a2f3cdfe1416eb090ac06727c14ef,0,1,1,0,1,0,1,0,0,0,0,0,142,,16,0,0,0,0,0,0,0
3596c29d1cea44029e9d3ec4f1977b36,0,1,1,0,1,0,1,0,0,0,0,0,127,11,33,0,0,0,0,0,0,0
ac4dc701877048b180b280f1adccea6b,0,1,1,0,1,0,1,0,0,0,0,0,62,,35,0,0,0,0,0,0,0
07bafe8cf94b4adba84d8c8028ca23cb,0,1,1,0,1,0,0,1,1,0,0,0,1102,251,13,0,0,0,0,0,0,0
afa3a694d2fd44b88df5bc3fa9118698,0,1,1,0,1,0,0,1,0,1,0,0,801,,50,0,0,0,0,0,0,0
248d1bd4ba2d4bc99b49cdff109b6632,0,1,1,0,1,0,0,1,0,0,1,0,2660,42,89,0,0,0,0,0,7,0
8037ddfa464f41dfb19eefd4f4e50a16,0,1,1,0,1,0,0,1,0,0,1,0,282,3.3333333333333335,96,0,0,0,0,5,0,0
14f4cf1880544d879f2df43e32568ec1,0,1,1,0,1,0,0,1,0,0,1,0,246,7,42,0,0,0,0,0,0,0
85e2961a07e14e4cb8e47069e64e55a2,0,1,1,0,1,0,0,1,0,0,0,1,1442,,31,0,0,0,0,0,0,0
062dd3cb21b849da8ace320e37b3a1ab,0,1,1,0,1,0,0,1,0,0,0,1,393,,7,0,0,0,0,0,0,0
75b306f5c9504af280fc1432be10b1f3,0,1,1,0,1,0,0,1,0,0,0,1,242,,36,0,0,0,0,0,0,0
