#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
d68d077fb1072e4290dd012f69a08fc2,0,1,0,1,0,0,0,193,193,21,0,0,0,0,1
f1d152c6666e4e919a0361d44afe73ec,0,1,0,1,0,0,0,194,194,7,0,0,0,0,0
86a93993004348f597d7d03c96d4e989,0,1,0,1,0,0,0,194,194,23,0,0,0,0,0
8a3867206cb4430a833f0b138ae3430d,0,1,0,1,0,0,0,195,195,4,0,0,0,0,0
d64f9543d1044a6bab5ec701396fd88b,0,1,0,1,0,0,0,196,98,8,0,0,0,0,0
c67ae8defdeb4ec687cc70209f74d96f,0,1,0,1,0,0,0,197,197,8,0,0,0,1,0
75ebdeb1d1b24307932c6f56af7af496,0,1,0,1,0,0,0,197,197,13,0,0,0,0,0
39c3b60d235c4c80959ab55290a137de,0,1,0,1,0,0,0,198,99,4,0,0,0,0,0
ce4326858d454a4b99b7491862608fd9,0,1,0,1,0,0,0,198,198,24,0,0,0,0,0
445914027b8443ec99e85953c8b4b682,0,1,0,1,0,0,0,199,99.5,21,0,0,0,0,0
72c5b8c9f29f4f2ab9d8b58cce20a35a,0,1,0,1,0,0,0,199,199,30,0,0,0,0,0
a3108ee2524a48f3bea033861732ad1d,0,1,0,1,0,0,0,200,200,18,0,0,0,0,0
927437f037f847929d4d545fbf041a38,0,1,0,1,0,0,0,200,200,46,0,0,0,0,2
131ae7e324db4143a63dd35981ab0a66,0,1,0,1,0,0,0,201,201,24,0,0,0,0,0
8d15a8c4acb44c54b043494cec626223,0,1,0,1,0,0,0,202,202,11,0,0,0,0,0
996cca49df0e8f428bbf0cd2f272ba2c,0,1,0,1,0,0,0,202,202,14,0,0,0,0,0
bbaa0ac00358424793e2ed521eb541ce,0,1,0,1,0,0,0,203,20.3,16,0,0,0,0,0
2f9669301f20486aa8657b3e945852d5,0,1,0,1,0,0,0,203,203,23,0,0,0,0,5
a6836834770c42e4a585948e73a31969,0,1,0,1,0,0,0,205,205,9,0,0,0,0,0
1ec9931152c1431e807a2015f57d2ccb,0,1,0,1,0,0,0,205,205,13,0,0,0,0,1
634c3203586c4a64b2b108e5cd580b57,0,1,0,1,0,0,0,206,206,14,0,0,1,0,0
763ae5a6186d4739b67a2e1ac1bf3949,0,1,0,1,0,0,0,207,207,19,0,0,0,0,0
c18eb0f328a7416a82d90292d5f8496f,0,1,0,1,0,0,0,207,207,39,0,0,0,0,0
c16d952d469d4c3bb427d8af61b4d7be,0,1,0,1,0,0,0,208,208,16,0,0,0,0,0
b2de4255a50a478cb1e021341ad7f4de,0,1,0,1,0,0,0,209,104.5,2,0,0,0,0,0
9dc7496bd2ea4efe9a99423e52c51092,0,1,0,1,0,0,0,211,16.23076923076923,18,0,0,0,0,0
b805ed14589a4ef3a46787093863035d,0,1,0,1,0,0,0,211,211,1,0,0,0,0,0
9cd8d8934d2f41069974353f570c3450,0,1,0,1,0,0,0,213,42.6,12,0,0,0,0,0
68832f4971d0a74d9fb45c26b717008e,0,1,0,1,0,0,0,213,213,9,0,0,0,0,1
36806c56b8f74aefb720c297fb1b43c3,0,1,0,1,0,0,0,214,214,1,0,0,0,0,0
e44fa100673b4440aaa246db71659d24,0,1,0,1,0,0,0,214,214,14,1,0,0,0,0
4a9006750d7e4a45bea3da09dd891bf5,0,1,0,1,0,0,0,215,107.5,7,0,0,0,0,0
6c94f7aaa542db4b9ad83de11e8671eb,0,1,0,1,0,0,0,217,10.333333333333334,27,0,0,0,0,0
f4ada31c263c443d9c2327a3b53fe078,0,1,0,1,0,0,0,217,217,2,0,0,0,0,0
d0aada0c5f1a428ab07921741fd8fa84,0,1,0,1,0,0,0,217,217,22,0,0,0,0,1
d56d8f6d9f2142d7847d6dd49287937e,0,1,0,1,0,0,0,217,217,27,0,0,0,0,0
97e9b305647c435283b67b064da32b1a,0,1,0,1,0,0,0,218,43.6,13,0,0,0,0,0
8b3f09b03dba418182838ad23e69de0b,0,1,0,1,0,0,0,219,109.5,20,0,0,0,0,0
e445eedabdb14be79dc3f3fe1954155a,0,1,0,1,0,0,0,219,219,11,0,0,0,0,0
e3311a04fafc44e3bf4967d641a8bfcd,0,1,0,1,0,0,0,220,22,16,0,0,0,0,0
ac5e0f9d00014aae91001281938eaba7,0,1,0,1,0,0,0,221,221,1,0,0,0,0,0
dff47b799c4248bcac6da1c6bedc8b44,0,1,0,1,0,0,0,221,221,20,0,0,0,0,0
e15d605926d54499a1ffacc0bf9088d9,0,1,0,1,0,0,0,222,222,12,0,0,0,0,0
9d8e8431903a41a18c3592ff525a5bc3,0,1,0,1,0,0,0,222,222,18,0,0,1,0,0
e671e4b076b745a3913c87dd58f6ad35,0,1,0,1,0,0,0,224,224,14,0,0,0,0,0
