#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8522,162890,103469,43654,8401,101132,33831,358.5639507425969,267.9596704523905,1502568,924,3851,1568,2199,13679
cf580cfa19d848ce9799d4f1f51e2254,0,1,0,1,0,0,0,,,0,0,0,0,0,0
2e5edcdfe62a46ff99a87cdd0c4e9fa4,0,1,0,1,0,0,0,,,0,0,0,0,0,0
3e9efb5d795d4743b484ce3b79ee6575,0,1,0,1,0,0,0,,,0,0,0,0,0,0
d30f7bb44b924c1da432cd0ee4a6ae19,0,1,0,1,0,0,0,,,0,0,0,0,0,0
ef1a6a5078ef4cfabda340c9c54856a0,0,1,0,1,0,0,0,,,0,0,0,0,0,0
4fbda6b3a2c3450a944a5c057d37beb3,0,1,0,1,0,0,0,,,0,0,0,0,0,0
d9b228bc782746928eb266534511a5da,0,1,0,1,0,0,0,,,0,0,0,0,0,0
fa23039832a2443a9db4fdb5f39d2884,0,1,0,1,0,0,0,,,0,0,0,0,0,0
3494cc42d7a64edfa9501998f32fb9c1,0,1,0,1,0,0,0,,,0,0,0,0,0,0
83112c42e2b0449fb8ad489a43d95882,0,1,0,1,0,0,0,,,0,0,0,0,0,0
f6b0c8785214495091132a3c665e2fa3,0,1,0,1,0,0,0,,,0,0,0,0,0,0
2b927820b27949b78d2c0f03dceca2d4,0,1,0,1,0,0,0,,,0,0,0,0,0,0
aba4f405866841f7a87c81c0c7e206dc,0,1,0,1,0,0,0,,,0,0,0,0,0,0
6a316e8b699f424098f57c67a544e15e,0,1,0,1,0,0,0,,,0,0,0,0,0,0
8ce9847c165a48dc96a4b44952560c8c,0,1,0,1,0,0,0,,,0,0,0,0,0,0
58e6929703f247fc8ca303bce5513064,0,1,0,1,0,0,0,,,0,0,0,0,0,0
100e7a889f3a4f1aae969b8f014ee15c,0,1,0,1,0,0,0,,,0,0,0,0,0,0
b68a88a7e9c946b3b21746f0642ccfea,0,1,0,1,0,0,0,,,0,0,0,0,0,0
bd950af4d1f842cb81fcd45612ed03d0,0,1,0,1,0,0,0,,,0,0,0,0,0,0
550625d80f384347bcd2b74813566d09,0,1,0,1,0,0,0,,,1,0,0,0,0,0
63f0c26c42284056b6a5883b2ef3887a,0,1,0,1,0,0,0,,,1,0,0,0,0,0
d49baa61f35b40e280d336f2ce831bd5,0,1,0,1,0,0,0,,,1,0,0,0,0,0
231019ec679947bfa0e4ba848dcb2107,0,1,0,1,0,0,0,,,1,0,0,0,0,0
f8e67733bdcf4aff965d8cc36d8750f7,0,1,0,1,0,0,0,,,1,0,0,0,0,0
464ff7ad0b374a63a7f1c2ba0c031d68,0,1,0,1,0,0,0,,,1,0,0,0,0,0
fa8b6a3aa2c94d8687710eb3bb714324,0,1,0,1,0,0,0,,,1,0,0,0,0,0
9b688c6453c248aa917c5fee200a1b65,0,1,0,1,0,0,0,,,1,0,0,0,0,0
f95653b4440d401ba66e7cfad181cf7f,0,1,0,1,0,0,0,,,1,0,0,0,0,0
1c086968b0aa40b1a856e4ea411d469f,0,1,0,1,0,0,0,,,1,0,0,0,0,0
3028c9796dc740628b281182686e5f5d,0,1,0,1,0,0,0,,,1,0,0,0,0,0
82d72b96fde3874297d9bde6341a3b74,0,1,0,1,0,0,0,,,1,0,0,0,0,0
299f5c5e91d84add87c5be6c292ff343,0,1,0,1,0,0,0,,,1,0,0,0,0,0
795e06310d20429b8d93ccfaca6de1c7,0,1,0,1,0,0,0,,,1,0,0,0,0,0
b3afca67382d40a39548a3dd5e0ecedb,0,1,0,1,0,0,0,,,1,0,0,0,0,0
f1f933b9f8964c05b846a5078e6bd73e,0,1,0,1,0,0,0,,,1,0,0,0,0,0
4edf36c8b66b44f5a73f4e5e00b48e8b,0,1,0,1,0,0,0,,,1,0,0,0,0,0
7f271e620e174a08ac0f82e8ecc6f93e,0,1,0,1,0,0,0,,,1,0,0,0,0,0
3d596f45202a45ea9b36a38c3e5294fb,0,1,0,1,0,0,0,,,1,0,0,0,0,0
aaeeae2613a24bc4b8b280749953dfa3,0,1,0,1,0,0,0,,,1,0,0,0,0,0
d396a481681d425eb527c9c751f84c08,0,1,0,1,0,0,0,,,1,0,0,0,0,0
