MC1ID,Paid Order Exists,Try Exists,Total Visits,New Visitors,Return Visitors,Enter PDP from Office.com,Enter PDP from Store,Enter PDP from O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks on OverviewTab,Link Clicks on TechSpecsTab,Link Clicks on ReviewTab,Link Clicks on FAQTab,Link Clicks on AddtoCartButton,Link Clicks on Trial link
42bfe334bf8f42259679a222a69fa375,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0
528e11d0aa1c4c81b303761b407655ad,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0
8ce17177b0354b9cbf4f9c3b8f46e097,0,0,1,1,0,0,0,0,,,115,0,0,0,0,0,0
a795c66744584adab60ceeecd338c04d,0,0,1,1,0,0,0,0,,,81,0,0,0,0,6,0
0d20ad41c9de4e6cbc7542a186108cc4,0,0,1,1,0,0,0,0,,,25,0,0,0,0,2,1
1a214e2753444445b91148cee64c93a2,0,0,1,1,0,0,0,0,,,19,0,0,0,0,2,0
e9949f124a8d4632b1f732a1af2dde7e,0,0,1,1,0,0,0,0,,,17,0,0,0,0,0,0
a01b2c104c354cce9bc51ae4fd29a440,0,0,1,1,0,0,0,0,,,16,0,0,0,0,0,0
cb8cabb075424f23bf5035141fef84db,0,0,1,1,0,0,0,0,,,9,0,0,0,0,0,0
f845ca81e3664500b223f658157a4832,0,0,1,1,0,0,0,0,,,9,0,0,0,0,0,0
04db64ae95f94113a23af53b2bae34f4,0,0,1,1,0,0,0,0,,,7,0,0,0,0,0,0
d9cdaa100daa4d3ca8072079a96a3f4f,0,0,1,1,0,0,0,0,,,6,0,0,0,0,0,0
d16cd6eff03b482f858a98bedc6adfb5,0,0,1,1,0,0,0,0,,,5,0,0,0,0,0,0
5c367b4b3ca543f8aeade9ec1377912c,0,0,1,1,0,0,0,0,,,5,0,0,0,0,0,0
790617d36fdb45c9bfcb5f911bf088a6,0,0,1,1,0,0,0,0,,,5,0,0,0,0,0,0
6bbacdbffe134fbbbe18ad0e69241b6f,0,0,1,1,0,0,0,0,,,3,0,0,0,0,0,0
fd4fb7e311f74c14afa7d7856eaca471,0,0,1,1,0,0,0,0,,,2,0,0,0,0,0,0
85419ff518ad44e4a8d305805ed84820,0,0,1,1,0,0,0,0,,,2,0,0,0,0,0,0
2ca4b9673b9042bb9608aeb3c9fd92b0,0,0,1,1,0,0,0,0,,,2,0,0,0,0,0,0
11549e9efdca4597a519f59fb87be632,0,0,1,1,0,0,0,0,,,2,0,0,0,0,0,0
e5c645e992f34a8f86d81228008a8885,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
82029b421a614e7f866b0b4f09de4eb7,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
4112aa13ad034f47bd0dcf7fc72ec0fd,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
716fd8af744a4a47892c0b5e4633f228,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
701dc000e7c24296bd19c4a05b266517,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
719ad50ba6f24993b9b2476f53aa6a1c,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
7137d6f2602749dc8a23d116d84ecd85,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
fe049e21c078450daaeee893f5c14741,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
d9ad47708b3441ac8a1a98f40b80e788,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0
435c3eb93cc04d7c9b8ad7578cee8416,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0
3a2e372bf00e431f91e635143a1f0162,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0
90294c47f7a61d458cc2ba8143c9d440,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0
4866c95b68744e369da20f4c9e07e61b,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0
e5ac1930095647bfb5a710a0d4c0aaf2,0,0,1,0,1,1,0,0,3689,1844.5,67,0,0,0,0,0,2
2d1a0013b7d04f379d8176ed5e414480,0,0,1,0,1,1,0,0,1793,896.5,44,0,1,0,0,1,0
642f58be397140799cd11d70e0eaf67c,0,0,1,0,1,1,0,0,1790,1790,130,0,0,0,0,4,0
305a4ed7a631411da82dbb3f52584356,0,0,1,0,1,1,0,0,1734,144.5,17,0,0,1,0,0,4
e3166d902a8d4c11ad4423fbae3467bd,0,0,1,0,1,1,0,0,1246,1246,56,0,0,0,0,0,0
ca4487dd949e4fc297443d039e8c75a8,0,0,1,0,1,1,0,0,1156,1156,35,0,0,0,0,2,0
913a7da99caa42b49eaf37ac9c222da7,0,0,1,0,1,1,0,0,921,921,30,0,0,0,0,0,0
4ea90b042d5b4ab1b318eebf1b2b3a79,0,0,1,0,1,1,0,0,918,918,38,0,0,0,0,0,0
b085f824d01744e08df8f2f1a8129693,0,0,1,0,1,1,0,0,777,777,0,0,0,0,0,0,0
7839e088fac24de5b57ba60abeb63470,0,0,1,0,1,1,0,0,613,613,0,0,0,0,0,0,0
d5ca94c143954d0b8c196bda8539c502,0,0,1,0,1,1,0,0,610,610,33,0,0,0,0,0,0
759c40a9db9a4159ae15be0ebd619014,0,0,1,0,1,1,0,0,574,574,19,0,0,0,0,0,0
cd7469c338564a648490156b6a3c0fc6,0,0,1,0,1,1,0,0,549,549,4,0,0,0,0,0,0
867c9867bc5941498f496c1fcbf96f58,0,0,1,0,1,1,0,0,485,485,18,0,0,0,0,0,0
4da9790cfcb043b2aea5010195b86f79,0,0,1,0,1,1,0,0,463,463,8,0,0,0,0,0,0
b8b25438448740088cb7bf6002f59cd7,0,0,1,0,1,1,0,0,390,78,25,0,0,0,0,0,4
b796e6b6ac1a4671a593f2c5cddbe8a9,0,0,1,0,1,1,0,0,325,325,1,0,0,0,0,0,0
9bfe455651394580951f03d7516d1373,0,0,1,0,1,1,0,0,295,295,27,0,0,0,0,0,0
9383e9fd29b0482ea293d67d6a2101a0,0,0,1,0,1,1,0,0,250,14.70588235,24,0,0,0,0,0,0
1f504d40443b4ded93486789c513fe21,0,0,1,0,1,1,0,0,156,78,30,0,0,0,0,0,0
09f28efeb9014d0b8c819c37895397bf,0,0,1,0,1,1,0,0,143,143,7,0,0,0,0,0,0
1a576ebed35446589ff0e0ea3c3f0559,0,0,1,0,1,1,0,0,86,86,5,0,0,0,0,0,0
ed5b241ef03a442db9c587b97323c0fc,0,0,1,0,1,1,0,0,77,77,8,0,0,0,0,0,0
21698f1c92084fe6b5bf6990a05cd137,0,0,1,0,1,1,0,0,60,60,44,0,0,0,0,0,0
