#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
4427c33335d04f5a9a462655d29e1ff7,1,2,1,0,0,1,1,2247.5,2247.5,139,0,0,0,0,2
a3cb1703f17e4ece9e543f957c2ea5ef,1,2,1,0,0,1,1,1819.5,1819.5,254,0,0,0,0,0
7b1bfbfbe99c46c4a5732981e84496f6,1,2,1,0,0,1,1,1591,1591,159,0,0,0,0,0
aadab6791a1249ad98ed26f2b1c3178a,1,2,1,0,0,1,1,717,478,61,0,0,0,0,0
564a58f59d4a4e47a7da3c74bee8cec9,1,2,1,0,0,1,1,659.5,659.5,52,0,0,0,0,2
a1315cb311744178a19d4fc044c6a674,1,2,1,0,0,1,1,504.5,504.5,50,0,0,0,0,0
63b9f4d6c99742b694103a4e516889c4,1,2,1,0,0,1,1,410,410,74,0,0,0,0,5
a38082eb86c8495e8ec8bf3783c565b7,1,2,1,0,0,1,1,325,325,62,0,0,0,0,1
3cdf4f7f64cf4eaba47948b93819138d,1,2,1,0,0,1,1,323.5,323.5,30,0,0,0,0,0
4f05857d662c4636baea3e65c58a6053,1,2,1,0,0,1,1,287,287,141,0,0,0,0,0
44d2bfb242884e629cd0291051c771b7,1,2,1,0,0,1,1,209.5,209.5,56,0,0,0,0,0
d2aba5e315ed49b6804f7baec832c4aa,1,2,1,0,0,1,1,153,153,34,0,0,0,0,1
573afbcb552545ef8d639ee024759e4a,1,2,1,0,0,1,1,112.5,112.5,24,0,0,0,0,0
9e5672a4fa124fd9b9396a81236924ff,1,2,1,0,0,1,1,57.5,57.5,7,0,0,0,0,0
ba921bf16553448c9d619122c1511ee8,1,2,1,0,0,1,0,1729.5,1729.5,57,0,0,0,0,0
1346981ec20c4bf392681a8c7e091606,1,2,1,0,0,1,0,951.5,951.5,181,0,0,0,0,0
1eb60b91f00f4f2fbfb66482e34d7028,1,2,1,0,0,1,0,949.5,949.5,53,0,0,0,0,1
e595d0a55fc64da2b2b683cf717bd2af,1,2,1,0,0,1,0,918.5,918.5,57,0,0,0,0,1
6955881e038245fd98f1150dff683f6f,1,2,1,0,0,1,0,622,622,149,0,0,0,0,2
8ca21e399425468387c4ab4fcc7d6402,1,2,1,0,0,1,0,513.5,513.5,63,0,0,0,0,1
021650e4b7244e46bf11c68374635613,1,2,1,0,0,1,0,500.5,500.5,44,0,0,0,0,0
f4ac41ee115d4c259cb7fd392bf87582,1,2,1,0,0,1,0,356.5,237.66666666666666,15,0,0,0,0,0
722e25a1093d4589a9a0155dd6983c36,1,2,1,0,0,1,0,75,75,5,0,0,0,0,0
b505e62bb17048cb8740628f6482a92b,1,2,1,0,0,1,0,56.5,56.5,3,0,0,0,0,0
7e03b8106a1e044a9710813158e01163,1,2,1,0,0,1,0,38.5,7.7,51,0,0,0,0,0
3e8af28fa7f3417bb7d08c4cd5870656,1,2,1,0,0,1,0,38,15.2,6,0,0,0,0,0
833c8eb8ed724e089bdf7b30f237ee75,1,2,1,0,0,1,0,11,11,10,0,0,0,0,0
6daba5b57fc24e3eb5cc84cc180f369a,1,2,1,0,0,0,2,3658,3658,175,0,0,0,0,0
1134f9ebbb064ca38e3e51d8887f42c2,1,2,1,0,0,0,2,1302,651,28,0,0,0,0,0
701990a846fb4821b68b4068feb97cac,1,2,1,0,0,0,2,1250.5,1250.5,80,0,0,1,0,0
d0016d67ae1b415e9e06555e77e31f3a,1,2,1,0,0,0,2,1242.5,828.3333333333334,118,0,0,0,0,4
f33eb64da469435991c93a7da1ea4936,1,2,1,0,0,0,2,953,953,40,0,0,0,0,0
ea9c3af0126f424fb5eb5420889fbe55,1,2,1,0,0,0,2,895,44.75,101,0,0,0,0,0
3a62363a4cfdff438b42e6b26661e836,1,2,1,0,0,0,2,699.5,699.5,236,0,0,0,0,0
5fa0ca9b34264f1bb6ef92c9d4a884e2,1,2,1,0,0,0,2,697,464.6666666666667,61,0,0,0,0,0
e2a4333528974040aa839f090677d0c4,1,2,1,0,0,0,2,661,47.214285714285715,46,0,0,0,0,0
87e17da8e52a4c1aacd9d7da67bd2b30,1,2,1,0,0,0,2,660.5,660.5,83,0,0,0,0,0
4c663751354442358028ad3b01c3948c,1,2,1,0,0,0,2,557.5,557.5,86,0,0,0,0,0
8adfeccbb4fd4e13854631dcc04166fb,1,2,1,0,0,0,2,392,156.8,44,0,0,0,0,0
733ab24ad123485e99e3bd9fb9646771,1,2,1,0,0,0,2,338.5,225.66666666666666,151,0,0,0,0,0
7a8fcc25a20f410bbfd5e479eb5c5694,1,2,1,0,0,0,2,336.5,39.588235294117645,51,0,0,0,0,0
add6fdf6412045d3861c95cfe0237148,1,2,1,0,0,0,2,190.5,190.5,73,0,0,0,0,0
4acfdb4187ea44ddbb1cb65acda35aab,1,2,1,0,0,0,2,137,8.303030303030303,34,0,0,0,0,0
8ffdac79cdd949c1834634e19e258695,1,2,1,0,0,0,1,1863.5,196.1578947368421,109,0,0,0,0,0
36a7a8446ee44c288a974ed6124139e4,1,2,1,0,0,0,1,1047,1047,168,0,0,0,0,0
78450339720f3b48a210146686d3db6e,1,2,1,0,0,0,1,911.5,911.5,123,0,0,0,0,3
231631cb966c46b6b82f03ced2bf1c03,1,2,1,0,0,0,1,818,818,40,0,0,0,0,0
66f12306a5d443afb79239e9e07d52fc,1,2,1,0,0,0,1,387.5,387.5,47,0,0,0,0,0
dd9b6d0598cb46ffb432ebf2b7e7d946,1,2,1,0,0,0,1,313.5,209,78,0,0,0,0,0
3bb7c6895f5f439fb8daf3cc7ddfa0bd,1,2,1,0,0,0,1,184,184,59,0,0,0,0,1
