#=================================================================
# O365 Home - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1148,315,26825,15233,9009,1335,16146,5788,6608,9066,5061,2218,370.4206671373103,110.8185074955908,259720,164,670,229,370,2892,2258,3.000651348898606
13e2bc075372488795dab9320a8be054,0,0,1,0,1,0,0,0,1,0,0,0,113,,5,0,0,0,0,0,0,0
cda420b2ec474553abae9f53c0391902,0,0,1,0,1,0,0,0,1,0,0,0,97,,10,0,0,0,0,0,0,0
e27773139bd740a68c44965cc8fff33d,0,0,1,0,1,0,0,0,1,0,0,0,91,,8,0,0,0,0,0,0,0
d337655d4d04427da082d167997035b4,0,0,1,0,1,0,0,0,1,0,0,0,86,,11,0,0,0,0,0,3,0
5ac6f984f8db4958b26be05536352442,0,0,1,0,1,0,0,0,1,0,0,0,72,,8,0,0,0,0,0,0,0
2045110e0b984d15b0ece090d908b495,0,0,1,0,1,0,0,0,1,0,0,0,68,,26,0,0,0,0,1,0,0
