#=================================================================
# O365 Home - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1148,315,26825,15233,9009,1335,16146,5788,6608,9066,5061,2218,370.4206671373103,110.8185074955908,259720,164,670,229,370,2892,2258,3.000651348898606
31b64f8b8de24707a6c8db40b1b79785,0,0,1,0,1,0,1,0,1,0,0,0,,,1,0,0,0,0,0,0,0
d99328ca95d940b6a8f91141a1af579e,0,0,1,0,1,0,1,0,1,0,0,0,,,1,0,0,0,0,0,0,0
e3e136c4343f4f4ead1c9784ceb1b30a,0,0,1,0,1,0,1,0,1,0,0,0,,,1,0,0,0,0,0,0,0
cd654403af21405088badc226ec343f3,0,0,1,0,1,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0
2004567ec217468ca596a7fbed7eb598,0,0,1,0,1,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0
ed596c3a9bf3472ca501b53d6c50cf4f,0,0,1,0,1,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0
