#=================================================================
# O365 Home - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
366409fcd1874deea27099e80e0220fe,0,0,1,0,1,0,0,1,1,0,0,0,1,,1,0,0,0,0,0,0,0
4a07a6cfbc20483799618c171f7d54e3,0,0,1,0,1,0,0,1,1,0,0,0,1,,1,0,0,0,0,0,0,0
19dcf7c748cb44ebb924372381d6bb3d,0,0,1,0,1,0,0,1,1,0,0,0,1,,1,0,0,0,0,0,0,0
e939155085084dcfb12dc71793de7eea,0,0,1,0,1,0,0,1,1,0,0,0,1,,1,0,0,0,0,0,0,0
107334200c67400286f27e337779294b,0,0,1,0,1,0,0,1,1,0,0,0,,,26,0,0,0,0,0,0,0
40dd22bc3dda4843ae9c03bb0454d67e,0,0,1,0,1,0,0,1,1,0,0,0,,,10,0,0,0,0,0,0,0
c28997737ee5430c8592b1d413556778,0,0,1,0,1,0,0,1,1,0,0,0,,,7,0,0,0,0,0,0,0
c11fad72de454a00b5ec806082d7377a,0,0,1,0,1,0,0,1,1,0,0,0,,,7,0,0,0,0,0,0,0
f9821078bd3942b19a0e9d8e68b64a0a,0,0,1,0,1,0,0,1,1,0,0,0,,,6,0,0,0,0,0,0,0
f8e620c2552b4e2fb8c453fc2b7ebf69,0,0,1,0,1,0,0,1,1,0,0,0,,,4,0,0,0,0,0,0,0
514dd2b313e5426aaeee681b88ff2e5a,0,0,1,0,1,0,0,1,1,0,0,0,,,4,0,0,0,0,0,0,0
39b6646086f34392a1650964b3fcac26,0,0,1,0,1,0,0,1,1,0,0,0,,,4,0,0,0,0,0,0,0
87cf0a4df68240ea8e364afb92cf6426,0,0,1,0,1,0,0,1,1,0,0,0,,,3,0,0,0,0,0,0,0
4330c759b0854f5aa7369e35e30ef7bb,0,0,1,0,1,0,0,1,1,0,0,0,,,2,0,0,0,0,0,0,0
6770d7062185441cb2df83ca8f128948,0,0,1,0,1,0,0,1,1,0,0,0,,,2,0,0,0,0,0,0,0
GDPR-9FACD90B7D379CDF3C2E05EABFDABFC7,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
62d8936265d64aa992a9a2cecba00c20,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
fa9add39f58f4f9f9d984ca9f1cd871b,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
de8ac9c4c97b2f49af09a4960665ae47,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
07e97cd9087a5a409bffaca1dd28a858,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
e7eded5128174631880e181dae977cd2,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
b6ddf0a4db0146c581179ee4b3cc1cbd,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
ba2b4a2056c4482eb7e476aaf9d45e1f,0,0,1,0,1,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
eec732f144d040918fbd41bd4af6a1ec,0,0,1,0,1,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
7ca4f7b3ea2d426fa5c1dc153000098a,0,0,1,0,1,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
b14a50d158414831bc1db34442e5bcfd,0,0,1,0,1,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
6a09b8b16e6142019b2c585f384fef69,0,0,1,0,1,0,0,1,0,1,0,0,4446,16,159,0,0,0,0,0,0,0
e4ada480c56e4329a558a92e7dfa37cd,0,0,1,0,1,0,0,1,0,1,0,0,2731,3,25,0,1,0,0,0,0,0
0fcb650dcf094b66a643ab08dab7ad1a,0,0,1,0,1,0,0,1,0,1,0,0,2665,,66,0,0,0,0,0,0,0
42a344724656412899d0f2be52bf8ad3,0,0,1,0,1,0,0,1,0,1,0,0,2388,802,41,0,0,0,0,0,0,0
0edea634ff7647b4a06cea72605b89e4,0,0,1,0,1,0,0,1,0,1,0,0,2297,,12,0,0,0,0,0,0,0
bca14d41c83d446d9b316eb67a2f9b98,0,0,1,0,1,0,0,1,0,1,0,0,2278,493,31,0,0,0,1,0,0,0
8280c1e38c014b4a8134d841f0facc75,0,0,1,0,1,0,0,1,0,1,0,0,2214,,116,0,0,0,0,0,2,0
5cfc0abe025147a0bc1030c43beb4fd9,0,0,1,0,1,0,0,1,0,1,0,0,1890,,16,0,0,0,0,0,0,0
d0f09e239ce949098b4556500654d832,0,0,1,0,1,0,0,1,0,1,0,0,1883,37,19,0,1,0,0,1,0,0
64ae1c607f61e743abd9776c7a04a676,0,0,1,0,1,0,0,1,0,1,0,0,1883,25,43,0,0,0,0,0,0,0
9269a3c4da63428c8b9a59c19926a438,0,0,1,0,1,0,0,1,0,1,0,0,1848,24,54,0,0,0,0,0,0,0
9d635bd59428154994f623565b199f38,0,0,1,0,1,0,0,1,0,1,0,0,1751,,60,0,0,0,0,0,0,0
93c9c7a0cc8147f09f09f7b81ac207f9,0,0,1,0,1,0,0,1,0,1,0,0,1696,718,14,0,0,0,0,0,0,0
16038c7f70444eb191c38cb737cd6266,0,0,1,0,1,0,0,1,0,1,0,0,1551,72,66,0,1,1,0,0,0,0
d6a4e87140af492bb7b1f8ba89e412c0,0,0,1,0,1,0,0,1,0,1,0,0,1537,88,21,0,0,0,2,0,0,0
aeba6e53b87345aba128ce1c84532db8,0,0,1,0,1,0,0,1,0,1,0,0,1448,,16,0,0,0,0,0,0,0
d012cc506448402baf7784a839c37baf,0,0,1,0,1,0,0,1,0,1,0,0,1442,38,2,0,0,0,0,0,0,0
3cf2731a12ca4716ba9d92f5a5c0e69a,0,0,1,0,1,0,0,1,0,1,0,0,1290,430,24,0,0,0,1,1,0,0
9d62b068375d4cd9b701b1aec4cb73e2,0,0,1,0,1,0,0,1,0,1,0,0,1269,,5,0,0,0,0,0,0,0
50d14cdbe6fa457f99827213ea836713,0,0,1,0,1,0,0,1,0,1,0,0,1110,49,82,0,0,0,0,0,0,0
8fb18cbb603a43d68b6aa18995b29c04,0,0,1,0,1,0,0,1,0,1,0,0,1004,362,7,0,0,0,0,0,0,0
0359a12a4af64a31b5cd0e417b060221,0,0,1,0,1,0,0,1,0,1,0,0,1004,1,49,0,0,0,0,0,0,0
3d36fcc7a3bc4fac8bcb58c3ac578204,0,0,1,0,1,0,0,1,0,1,0,0,846,,63,0,0,0,0,0,2,0
7ccfe5ac4f11459f9fea1bb1c6ae4af6,0,0,1,0,1,0,0,1,0,1,0,0,763,,66,0,0,0,0,0,0,0
cbf7b8af55b641559f9a64cec794a283,0,0,1,0,1,0,0,1,0,1,0,0,714,586,10,0,0,0,0,0,0,0
1daf0b73f85c4c5cad84f4aa4b97069c,0,0,1,0,1,0,0,1,0,1,0,0,669,,13,0,0,0,0,0,0,0
fc7c809e250744eab5d7ff9ff585b38b,0,0,1,0,1,0,0,1,0,1,0,0,654,57,79,0,0,0,0,0,0,0
6086f0aedc0d48b28443f5cc872aef54,0,0,1,0,1,0,0,1,0,1,0,0,649,,23,0,0,0,0,0,0,0
