#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
f2b2b926a2ec48fc8c54348a4a51815b,0,0,1,1,0,0,0,1,8,8,9,0,0,0,0,0,0
68417deff3264f66ade8cefd1f0ff847,0,0,1,1,0,0,0,1,8,8,2,0,0,0,0,0,0
0fe983b0ff1347619487b3a3c470ea2a,0,0,1,1,0,0,0,1,8,8,1,0,0,0,0,0,0
1f59c7026e6048a299a092aa3c901d02,0,0,1,1,0,0,0,1,8,8,1,0,0,0,0,0,0
a9cb11bfaa464b5da0d9a3c17560bb00,0,0,1,1,0,0,0,1,8,8,0,0,0,0,0,0,0
7b2d2caa00d342c9bded46a31f627e28,0,0,1,1,0,0,0,1,7,7,4,0,0,0,0,0,0
75ad1559df4c495ca2a6b5cfadfe1bc2,0,0,1,1,0,0,0,1,7,7,2,0,0,0,0,0,0
327d661d22aa46b39a74f3deb2e9fd30,0,0,1,1,0,0,0,1,7,7,1,0,0,0,0,0,0
6fd40bd9f12446e989bcd24bcc66f607,0,0,1,1,0,0,0,1,7,7,1,0,0,0,0,0,0
a2d8905c518e4856bb5673387e923f90,0,0,1,1,0,0,0,1,7,7,1,0,0,0,0,0,0
4d8c62d75bba4e2f899c34f187b4ba89,0,0,1,1,0,0,0,1,7,7,0,0,0,0,0,0,0
2222fddce0f34d02bd37eccf9f5a4d4c,0,0,1,1,0,0,0,1,7,3.5,7,0,0,0,0,0,0
8dbb4c31f52d4dc3a10a4b692e46590c,0,0,1,1,0,0,0,1,7,3.5,0,0,0,0,0,0,0
a5f14b1875f9463c99c175fc22eeb36c,0,0,1,1,0,0,0,1,6,6,2,0,0,0,0,0,0
093cc8b10c174635be43e110e0a91983,0,0,1,1,0,0,0,1,6,6,2,0,0,0,0,0,0
5277f4de29a545909acef80e2ed60b1d,0,0,1,1,0,0,0,1,6,6,2,0,0,0,0,0,0
43b85d7de16645b1b22e5546b9043bc9,0,0,1,1,0,0,0,1,6,6,1,0,0,0,0,0,0
f7e6803b5ce540e3b8874c5954949a75,0,0,1,1,0,0,0,1,6,6,1,0,0,0,0,0,0
8623a49ed5d447329bc68267a0651014,0,0,1,1,0,0,0,1,6,6,1,0,0,0,0,0,0
0d6650ee3e644101bdd0fa105c5e7b5a,0,0,1,1,0,0,0,1,6,6,1,0,0,0,0,0,0
92034bc9037b4dd987aa57b8a4b21722,0,0,1,1,0,0,0,1,6,6,0,0,0,0,0,0,0
37ceb2b6079044b48afbe296b95e7f95,0,0,1,1,0,0,0,1,6,2,3,0,0,0,0,0,0
000e4c2e28934dd1920ffa6c4644208e,0,0,1,1,0,0,0,1,5,5,3,0,0,0,0,0,0
cea705a31c984558ac5a1b3a776c5480,0,0,1,1,0,0,0,1,5,5,2,0,0,0,0,0,0
4fc72fd69de54153bb610afed603de33,0,0,1,1,0,0,0,1,5,5,1,0,0,0,0,0,0
b5bab0496f65452f86953f5100bbbea1,0,0,1,1,0,0,0,1,5,5,1,0,0,0,0,0,0
177e5f21a89840f2a45aab975a17a9dc,0,0,1,1,0,0,0,1,5,5,1,0,0,0,0,0,0
9137f7b539c64f9eb70124e168dc885c,0,0,1,1,0,0,0,1,5,1.6666666666666667,2,0,0,0,0,0,0
48429ab628e34889b377e521e6dffb24,0,0,1,1,0,0,0,1,5,1.6666666666666667,2,0,0,0,0,0,0
ed02344db3974e02b791911021db69ca,0,0,1,1,0,0,0,1,5,1.6666666666666667,1,0,0,0,0,0,0
d14bbeeef77c41bc843d650899c11c57,0,0,1,1,0,0,0,1,4,4,7,0,0,0,0,0,0
59be21fea56f43c7ac92049b9a680795,0,0,1,1,0,0,0,1,4,4,5,0,0,0,0,0,0
dfa9770c61b14a919733feaf507bbdf0,0,0,1,1,0,0,0,1,4,1.3333333333333333,2,0,0,0,0,0,0
1a761147344f4fdf8fefdaf16014d4ef,0,0,1,1,0,0,0,1,3,3,1,0,0,0,0,0,0
9442edb7023d48deba8bb4d9a62a23d1,0,0,1,1,0,0,0,1,3,3,1,0,0,0,0,0,0
8c455682ad72402caef2d8c8a33a4588,0,0,1,1,0,0,0,1,2,2,2,0,0,0,0,0,0
ff07ed60da394f1083b5b59d0f3b1712,0,0,1,1,0,0,0,1,1,1,8,0,0,0,0,0,0
4bd08273676244a4873937219938e876,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
114b8ddde6c4450c82ec047a71a408ee,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
6a3c60dac2b54b96a32a330fc8e06357,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
04f0c4f3f54a4ac8be5bb2cf8cab516c,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
74d9c20adcb843b281e6b6779cdfbc66,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
45f0a206b82a435ba99bf5b83648e873,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
41516337a62f43cea8414408a5c0c702,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
44de9412f1d14e36be6572c13ab71c12,0,0,1,1,0,0,0,1,,,37,0,0,0,0,0,0
00ab6b12197144f08c6d3c949b37f9b2,0,0,1,1,0,0,0,1,,,15,0,0,0,0,0,0
a3eefe21ff574ea1a68416a80c58e8c6,0,0,1,1,0,0,0,1,,,14,0,0,0,0,0,0
9cdd4d3259ca470ab5ee7e8a7457963e,0,0,1,1,0,0,0,1,,,13,0,0,0,0,0,0
bea928b326a942ebabb407e2d5697b98,0,0,1,1,0,0,0,1,,,12,0,0,0,0,0,0
103ab6335b3143c5b83a840b5c22c6db,0,0,1,1,0,0,0,1,,,7,0,0,0,0,0,0
79f50b95566b4a69b664940935eafe05,0,0,1,1,0,0,0,1,,,7,0,0,0,0,0,0
4171d95ef08c474da0bcb827e519b40d,0,0,1,1,0,0,0,1,,,6,0,0,0,0,0,0
62aca5e9da6ce94b8b956ad4248e63ff,0,0,1,1,0,0,0,1,,,5,0,0,0,0,0,0
7d1a72f85853496ea643fadf4818a393,0,0,1,1,0,0,0,1,,,4,0,0,0,0,0,0
27a0eaa02d85458fad5a3c9324a0253f,0,0,1,1,0,0,0,1,,,4,0,0,0,0,0,0
4e1a4df6728f42a6bde9a0e0eb627743,0,0,1,1,0,0,0,1,,,3,0,1,0,0,0,0
5e48630f54cb47cea056b7cbfaf5c030,0,0,1,1,0,0,0,1,,,3,0,0,0,0,0,0
d4dce29db5b1481d9d37ecf1300b83e9,0,0,1,1,0,0,0,1,,,3,0,0,0,0,0,0
c95a4377b7c74d89a17cf821b3055e9d,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,2
b9ebe7100f5645aa9ed1285399024ed9,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
a2bda6b5addf423f99b27e73d12c1ab4,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
90cea476820d47c6b915e68441fa4e5b,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
967b5c48e17346a5b8acf00229bec0c4,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
502492165bd64d0d983160a3f4657f2b,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
d1e186b01e1444eb9e545c9d14a8d233,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
f8c545049b7244458bd38039674d15d9,0,0,1,1,0,0,0,1,,,2,0,0,0,0,0,0
84f7ffb8efce408f8af1183773610c9e,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
ebfc876cd48d4028ab3f3e521675248b,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
534cc6803f1d8a4e9c7b23ba48a19acd,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
a02b15b6c303488296dd3b06a2457ab7,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
098f84bd40104aed9cf7adfb71188c59,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
3e19d29db37e4b1ba5f65abd73fa195b,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
a37f892ca7f14c50a5c91d88f64f6fd8,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
54dee3f157b24a03bce4eaa370502b5c,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0
e292a8c607ec45889a245f39281281b8,0,0,1,1,0,0,0,1,,,0,0,0,0,0,0,0
f78a11b0709e4b8a962417d0b6bd1075,0,0,1,1,0,0,0,1,,,0,0,0,0,0,0,0
6be68142bf6a4fd4859ee2d91fd0ddff,0,0,1,1,0,0,0,1,,,0,0,0,0,0,0,0
71c0f2970774424094dfa98b2c826137,0,0,1,1,0,0,0,1,,,0,0,0,0,0,0,0
5ccec78ddbc245fda0488f5f4195cc70,0,0,1,1,0,0,0,1,,,0,0,0,0,0,0,0
bd9070d2447e4105b8d390d57a29774c,0,0,1,1,0,0,0,1,,,0,0,0,0,0,0,0
fd1cd156e55549ad9471e00846d385e1,0,0,1,1,0,0,0,0,5806,5806,228,2,2,2,0,0,0
11865363e1194acf93b461e54e48d5aa,0,0,1,1,0,0,0,0,2359,2359,64,0,0,0,0,1,0
702b5c358c40442389c68527f53eb550,0,0,1,1,0,0,0,0,2174,543.5,84,0,0,0,0,0,0
528cc8a033f842f7af159317ffd09cc6,0,0,1,1,0,0,0,0,2150,716.6666666666666,79,0,0,0,0,1,0
d11f4bb16cc0408a8dfe2a4f22c689d2,0,0,1,1,0,0,0,0,1968,246,19,0,0,0,0,2,0
44e0289bd8d04f789a1f960a47473102,0,0,1,1,0,0,0,0,1747,1747,25,0,0,0,0,0,0
