,0
Paid Order Exists,0.12
Try Exists,0.02857142857142857
Device Orders_Office,0.0
Total Visits,1.0985714285714285
New Visitors,0.36428571428571427
Return Visitors,0.6357142857142857
Enter PDP from Office.com,0.07142857142857142
Enter PDP from Store,0.6071428571428571
Enter PDP from O365 Web,0.06285714285714286
Time Spent per Visit (seconds),418.71610601314984
Average Time Spent on Page (seconds),86.94072372649644
Link Clicks (e4),20.782857142857143
Link Clicks on OverviewTab,0.012857142857142857
Link Clicks on TechSpecsTab,0.027142857142857142
Link Clicks on ReviewTab,0.018571428571428572
Link Clicks on FAQTab,0.01
Link Clicks on AddtoCartButton,0.20142857142857143
Link Clicks on Trial link,0.09571428571428571
cluster5,1.0
