,0
Paid Order Exists,0.14166666666666666
Try Exists,0.075
Device Orders_Office,0.008333333333333333
Total Visits,1.4916666666666667
New Visitors,0.5166666666666667
Return Visitors,0.48333333333333334
Enter PDP from Office.com,0.11666666666666667
Enter PDP from Store,0.425
Enter PDP from O365 Web,0.45
Time Spent per Visit (seconds),664.6447058827058
Average Time Spent on Page (seconds),185.6759259260278
Link Clicks (e4),32.516666666666666
Link Clicks on OverviewTab,0.0
Link Clicks on TechSpecsTab,0.03333333333333333
Link Clicks on ReviewTab,0.0
Link Clicks on FAQTab,0.016666666666666666
Link Clicks on AddtoCartButton,0.24166666666666667
Link Clicks on Trial link,0.0
cluster5,4.0
