,0
Paid Order Exists,0.08463251670378619
Try Exists,0.0200445434298441
Device Orders_Office,0.0011135857461024498
Total Visits,1.0801781737193763
New Visitors,0.6481069042316259
Return Visitors,0.3518930957683742
Enter PDP from Office.com,0.043429844097995544
Enter PDP from Store,0.0801781737193764
Enter PDP from O365 Web,0.6726057906458798
Time Spent per Visit (seconds),452.6938107309253
Average Time Spent on Page (seconds),107.9080937900623
Link Clicks (e4),19.15367483296214
Link Clicks on OverviewTab,0.0077951002227171495
Link Clicks on TechSpecsTab,0.028953229398663696
Link Clicks on ReviewTab,0.011135857461024499
Link Clicks on FAQTab,0.015590200445434299
Link Clicks on AddtoCartButton,0.17037861915367483
Link Clicks on Trial link,0.12472160356347439
cluster5,0.0
