,Paid Order Exists,Device Orders_Office,Total Visits,New Visitors,Enter PDP from Office.com,Enter PDP from Store
0,-0.64808,-0.01504,-0.01236,0.00006,-0.14968,0.01190
1,2.12428,0.04931,0.04051,-0.00021,0.49063,-0.03901
