#=================================================================
# O365 Personal - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
a8679fc6ad154cf79ad5d17c3686e8f7,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
b72831d7308841528f770f995658c84f,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
44f5241d939941568d61e6eea08cd43a,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
abba40c3411849479e7977c007e5ddeb,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
6ee2cbbee41643c9b07da0901e121b5f,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
84f7ffb8efce408f8af1183773610c9e,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
31a7eb9026d74aa18beaffaf1275bb92,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
837c7f12a79646a9bc18d0c416affa8c,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
a8255adea90d4fb980d02fbc34a3f537,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
202973455dec424ca58b343cb66ae6fa,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
bba5c5a2371a4354a388813149481f02,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
b3165822f76842f69c5bcd6de118bae3,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
a68b6d8e96414b6da97e712c310da205,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
11e393519309417fa7b79700fc06ec07,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
e89fbf2d3d604a9494600b3e2c7292d0,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
164eed39f0b2468c8013be354cf6afc5,0,0,1,1,0,0,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0
e3a5223da26c4e68b6e656e4dab198f4,0,0,1,1,0,0,0,1,0,1,0,0,4610,1784,120,0,1,0,1,0,0,0
6fd4d5ed9aef4ad7968a98911812f656,0,0,1,1,0,0,0,1,0,1,0,0,2527,1715,8,0,0,0,0,3,0,0
d0fff18318f6467f8a13eb79b60e3d73,0,0,1,1,0,0,0,1,0,1,0,0,2055,111,110,0,0,0,0,1,0,0
81be8408a8124e889e3f53bebda8ab7f,0,0,1,1,0,0,0,1,0,1,0,0,1669,7,12,0,0,0,0,0,0,0
73b1d388c7934c3e83df6c8d9387c0e5,0,0,1,1,0,0,0,1,0,1,0,0,1310,47,61,0,0,0,0,0,0,0
d3db563699ee46b9833641a6b52dab92,0,0,1,1,0,0,0,1,0,1,0,0,1283,2,51,0,0,0,0,0,0,0
bdccb914951a426b9454dca00dfb55f1,0,0,1,1,0,0,0,1,0,1,0,0,1276,62,49,0,0,0,0,0,0,0
66da4818d0a34e968817942c50df28ca,0,0,1,1,0,0,0,1,0,1,0,0,1156,,34,0,0,0,0,0,0,0
50c46ea4e5944c10b4814f334b9b0c08,0,0,1,1,0,0,0,1,0,1,0,0,1116,14,54,0,0,0,0,0,0,0
d7020bd3d3fd4ce2955cd4136c3c11f2,0,0,1,1,0,0,0,1,0,1,0,0,1084,41,59,0,0,0,0,0,0,0
cf1a777c23ad459cb1786a6a62b0c2d3,0,0,1,1,0,0,0,1,0,1,0,0,1050,,22,0,0,0,0,0,0,0
e18715149c714a248e94caea556f545c,0,0,1,1,0,0,0,1,0,1,0,0,1049,14,63,0,0,0,0,0,0,0
503b88f8a12447ba9cf056c3babec3b1,0,0,1,1,0,0,0,1,0,1,0,0,1044,19,53,0,0,0,0,0,0,0
aacf5d682aed46f3827ee64d011d8ce7,0,0,1,1,0,0,0,1,0,1,0,0,1001,,20,0,0,0,0,0,0,0
ec0b8786bfc54445950ce2192a845952,0,0,1,1,0,0,0,1,0,1,0,0,952,,2,0,0,0,0,0,0,0
7a396f4106c44a759ee06a46541672a9,0,0,1,1,0,0,0,1,0,1,0,0,912,14,84,0,0,0,0,0,0,0
08b40205ef5047f4b4432a4832dc234c,0,0,1,1,0,0,0,1,0,1,0,0,895,55,39,0,0,0,0,5,0,0
57e6594af0a3459193ba734ece0588f8,0,0,1,1,0,0,0,1,0,1,0,0,895,,35,0,0,0,0,1,0,0
3918b1ba669d4474a965afc8db481bc9,0,0,1,1,0,0,0,1,0,1,0,0,866,24.333333333333332,69,0,0,0,0,2,0,0
f55d3fd2bd1042679a0e95f7b30ceec8,0,0,1,1,0,0,0,1,0,1,0,0,717,13,18,0,0,0,0,0,0,0
ce276f096370434f9b1e937028207f7c,0,0,1,1,0,0,0,1,0,1,0,0,662,73,29,0,0,0,0,0,0,0
eac64971c730402986b6ab08e99d3850,0,0,1,1,0,0,0,1,0,1,0,0,645,13,24,0,0,0,0,0,0,0
912507d27e4546778bc8347b9d1b989b,0,0,1,1,0,0,0,1,0,1,0,0,615,,10,0,0,0,0,0,0,0
871a4f2a29254b7eb7a9e1fbf16cd53d,0,0,1,1,0,0,0,1,0,1,0,0,608,8,21,0,0,0,0,0,0,0
0d7f36f25fa64a0fb35d8a4d6f83bb5b,0,0,1,1,0,0,0,1,0,1,0,0,599,21,43,0,0,0,1,0,0,0
f6beb81e9ea44f50ab9a08b76768db10,0,0,1,1,0,0,0,1,0,1,0,0,568,189.33333333333334,3,1,1,0,0,0,0,0
8184a549d5ff4d21b4d5b65727554246,0,0,1,1,0,0,0,1,0,1,0,0,558,,5,0,0,0,0,0,0,0
34e0f56cfd2a4ef6a56605433fdf21e1,0,0,1,1,0,0,0,1,0,1,0,0,512,9,37,0,0,0,0,0,0,0
51edaf3a3a59445390c645ddf2dbf94d,0,0,1,1,0,0,0,1,0,1,0,0,426,,30,0,0,0,0,0,0,0
d8ba7e28c9124f63b6ddf0e9d2f69a72,0,0,1,1,0,0,0,1,0,1,0,0,423,370,4,0,0,0,0,1,0,0
64040e3b9da148f1b294a2f0d4b9f4eb,0,0,1,1,0,0,0,1,0,1,0,0,412,,12,0,0,0,0,1,0,0
9ba62ea68e354a20aaf29c5d08f4d2cc,0,0,1,1,0,0,0,1,0,1,0,0,401,,8,0,0,0,0,0,1,0
ee3901a3b8574f2ab1c6b4dfc43d50ea,0,0,1,1,0,0,0,1,0,1,0,0,372,,1,0,0,0,0,0,0,0
e505cb42c4d647cb883d8d0ade0829c5,0,0,1,1,0,0,0,1,0,1,0,0,369,20,36,0,0,0,0,1,0,0
ca6ad3c6c2b545e78aa31fae57f36aad,0,0,1,1,0,0,0,1,0,1,0,0,349,,34,0,0,0,0,0,0,0
09f98df52548493087540594f22f6c81,0,0,1,1,0,0,0,1,0,1,0,0,315,,10,0,0,0,0,0,0,0
746a20868a63428897d8f81f72433911,0,0,1,1,0,0,0,1,0,1,0,0,307,71,26,0,0,0,0,1,0,0
85e2149e5b1e44cb8fd454d0644e7336,0,0,1,1,0,0,0,1,0,1,0,0,302,,23,0,0,0,0,0,0,0
4b8851099468479a93b36d4ae19c74b4,0,0,1,1,0,0,0,1,0,1,0,0,288,20,22,0,0,0,0,0,0,0
acb43f6e9dc04d0da19230f5fa0cbb30,0,0,1,1,0,0,0,1,0,1,0,0,288,,58,0,0,0,0,0,0,0
3027ced539564ec3869f1da7090f0867,0,0,1,1,0,0,0,1,0,1,0,0,264,,60,0,0,0,0,0,0,0
96258e4cbf7e445ab6b3c611547c9a4e,0,0,1,1,0,0,0,1,0,1,0,0,262,,40,0,0,0,0,0,0,0
1668e11d07644797a337ccd8d1dfb919,0,0,1,1,0,0,0,1,0,1,0,0,262,,5,0,0,0,0,0,0,0
3af89a356d914077899e5c3861e640fd,0,0,1,1,0,0,0,1,0,1,0,0,256,57,25,0,1,0,0,1,0,0
2c1380ef2871415798c182e18c324d74,0,0,1,1,0,0,0,1,0,1,0,0,239,,13,0,0,0,0,0,0,0
22db4b5f53df4ff5b47235ca34a45ff1,0,0,1,1,0,0,0,1,0,1,0,0,237,7,16,0,0,0,0,1,0,0
e790ea5b00cb4d7cbd83c662b175b82c,0,0,1,1,0,0,0,1,0,1,0,0,235,31,8,0,0,0,0,0,0,0
26f7a98f01c940d8b8ff490af86c4f17,0,0,1,1,0,0,0,1,0,1,0,0,234,,7,0,0,0,0,0,0,0
76dbd0425a0b44c9a9ede9248a0775f2,0,0,1,1,0,0,0,1,0,1,0,0,210,,16,0,0,0,0,0,0,0
e75b21d025f84e13b7574e542f38aa6b,0,0,1,1,0,0,0,1,0,1,0,0,205,28,19,0,0,0,0,0,0,0
288f2b4fed2a486b84ac4832b68a185e,0,0,1,1,0,0,0,1,0,1,0,0,201,12.2,29,0,0,0,0,1,0,0
4c6ac558103847fbbfa2b22d59cc71cf,0,0,1,1,0,0,0,1,0,1,0,0,200,11,39,0,0,0,0,0,0,0
b66cd2dc862244aca6f21afb12aae920,0,0,1,1,0,0,0,1,0,1,0,0,165,,1,0,0,0,0,0,0,0
5e9fdd65566d4b0d8cd7077624af13da,0,0,1,1,0,0,0,1,0,1,0,0,145,21,8,0,0,0,0,0,0,0
0d100deff31547d08b03c1069ed4d934,0,0,1,1,0,0,0,1,0,1,0,0,143,18,10,0,0,0,0,1,0,0
85dfbf0568a74dd09b80235cd7888520,0,0,1,1,0,0,0,1,0,1,0,0,139,,15,0,0,0,0,0,0,0
f8b88281949843ceae61981001cc0d91,0,0,1,1,0,0,0,1,0,1,0,0,130,,2,0,0,0,0,0,0,0
dcc45868ff1049efbf54eac0e28ef1a6,0,0,1,1,0,0,0,1,0,1,0,0,123,,5,0,0,0,0,0,0,0
0529f9b312074a56a0350b737abc481b,0,0,1,1,0,0,0,1,0,1,0,0,121,85,8,0,0,0,0,0,0,0
bfefa4cc752a47b8a90cc9cf5ab05188,0,0,1,1,0,0,0,1,0,1,0,0,109,,1,0,0,0,0,0,0,0
d322d2f394d7403b8bf631b4cdf55cc5,0,0,1,1,0,0,0,1,0,1,0,0,105,54,18,0,0,0,0,0,0,0
d39f1f027d0f4a83b72a84758b2f0d2d,0,0,1,1,0,0,0,1,0,1,0,0,103,,7,0,0,0,0,0,0,0
c12d4a742636434384677978d0b377dc,0,0,1,1,0,0,0,1,0,1,0,0,86,33,7,0,0,0,0,1,0,0
6b16c271cc4b4f2fbc06fe3510f2595c,0,0,1,1,0,0,0,1,0,1,0,0,81,,18,0,0,0,0,0,0,0
8cb05b9547104a43a818e75e11b935d6,0,0,1,1,0,0,0,1,0,1,0,0,80,3,4,0,0,0,0,0,0,0
513fa571dfda4bf7b5857b91110de3f5,0,0,1,1,0,0,0,1,0,1,0,0,80,,15,0,0,0,0,0,0,0
faaf20e4afdc413e8d7af9110cd29dff,0,0,1,1,0,0,0,1,0,1,0,0,80,,1,0,0,0,0,0,0,0
3fab63f7440d43d893c18ce3e9f437cf,0,0,1,1,0,0,0,1,0,1,0,0,79,,0,0,0,0,0,0,0,0
7ad58fa534214676ad5a44a4a0dbea9b,0,0,1,1,0,0,0,1,0,1,0,0,75,,6,0,0,0,0,0,0,0
9ff4a30abd704f719664bf4fbad4e0ec,0,0,1,1,0,0,0,1,0,1,0,0,71,,11,0,0,0,0,0,0,0
07001928a8bd4255809678b4ebdce328,0,0,1,1,0,0,0,1,0,1,0,0,70,,21,0,0,0,0,0,0,0
eeffa81816774337a998a44345f3aab9,0,0,1,1,0,0,0,1,0,1,0,0,68,,4,0,0,0,0,0,0,0
cfb5466a77134f3592a267d3fe5d6883,0,0,1,1,0,0,0,1,0,1,0,0,68,,1,0,0,0,0,0,0,0
9431a77de3b34645a359a0bcd8bcc3c6,0,0,1,1,0,0,0,1,0,1,0,0,61,4,14,0,0,0,0,0,0,0
ac8b40aeb6804f8ab53dee0f86577b40,0,0,1,1,0,0,0,1,0,1,0,0,59,3,4,0,0,0,0,0,0,0
51d65b13243d41029eda5e97cdf8efdc,0,0,1,1,0,0,0,1,0,1,0,0,49,1,5,0,0,0,0,0,0,0
ca4929a8508a4c8ca0e68628c1a1b9eb,0,0,1,1,0,0,0,1,0,1,0,0,49,,8,0,0,0,0,0,0,0
49f6e2033fa94a6f97ee90ce44840678,0,0,1,1,0,0,0,1,0,1,0,0,48,,3,0,0,0,0,0,0,0
1695ac92a6f345ccb9d268181c1e7593,0,0,1,1,0,0,0,1,0,1,0,0,43,,14,0,0,0,0,0,0,0
93099e15b08345a8a4e006c1d8bea363,0,0,1,1,0,0,0,1,0,1,0,0,31,,5,0,0,0,0,0,0,0
40d556b88abd437183137a2206da722d,0,0,1,1,0,0,0,1,0,1,0,0,24,,3,0,0,0,0,0,0,0
9b11524cdcf442eda6d1252c2e9e81b6,0,0,1,1,0,0,0,1,0,1,0,0,23,4,4,0,0,0,0,0,0,0
5cd8cbc7fca644ad9c91f9d9d103b572,0,0,1,1,0,0,0,1,0,1,0,0,23,,20,0,0,0,0,0,0,0
e8b06c9d8f4b4218961a1ff089a02638,0,0,1,1,0,0,0,1,0,1,0,0,23,,1,0,0,0,0,0,0,0
be373244ead5496d9eed9e2cfa5f413f,0,0,1,1,0,0,0,1,0,1,0,0,22,22,40,0,0,0,0,1,0,0
262ac7b44aab44c99d9bb8ee1c10e6ff,0,0,1,1,0,0,0,1,0,1,0,0,22,,4,0,0,0,0,0,0,0
116e4fd161054928bba919a2b27a6851,0,0,1,1,0,0,0,1,0,1,0,0,22,,0,0,0,0,0,0,0,0
7ebcf893af9e4db3b1536d67d4d87de6,0,0,1,1,0,0,0,1,0,1,0,0,21,,6,0,0,0,0,0,0,0
06f12076c75e42be861b774f81808750,0,0,1,1,0,0,0,1,0,1,0,0,19,15,2,0,0,0,0,0,0,0
4ed5e785655c467a972bf0b9248c5d74,0,0,1,1,0,0,0,1,0,1,0,0,15,,14,0,0,0,0,0,0,0
97c0682073cf4df89c2a3e90d7004bb7,0,0,1,1,0,0,0,1,0,1,0,0,10,,0,0,0,0,0,0,0,0
c9b6af2098ce451e97b7983f718c53a9,0,0,1,1,0,0,0,1,0,1,0,0,9,9,2,0,0,0,0,0,0,0
