#=================================================================
# O365 Personal - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Delocalized O365 Personal (Visit)"
#=================================================================


#=================================================================
# O365 Home - Buy
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Paid Orders_SJ (Visit), Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
917fd4dd53024f959dadbf3ec085723e,1,0,1,1,0,0,1,0,1,0,0,0,665,77,90,0,0,0,0,3,0,69.99
703f0ac08a364a85a252e7e091b6fe9e,1,0,1,1,0,0,1,0,1,0,0,0,485,55,32,0,1,0,0,2,0,14.99
49af6db4d87c45419af4a092b4461c88,1,0,1,1,0,0,1,0,1,0,0,0,442,,28,0,0,0,0,0,0,6.99
f3dcbfa0e05e400fbb03e17adb627569,1,0,1,1,0,0,1,0,1,0,0,0,432,256,38,0,0,0,0,1,0,69.99
e985204315d04f3cb754c28ef5bbd7d0,1,0,1,1,0,0,1,0,1,0,0,0,394,2.8,46,0,0,0,0,1,0,6.99
70b4aafed5354bd799d1271e8ef21625,1,0,1,1,0,0,1,0,1,0,0,0,329,17,34,0,0,0,0,1,0,6.99
7bf9ab13b78146f1b602f249e5bedd6f,1,0,1,1,0,0,1,0,1,0,0,0,312,,27,0,0,0,0,0,0,149.99
1dbd407cec454e42b33d3f2557dbc3f0,1,0,1,1,0,0,1,0,1,0,0,0,287,,27,0,0,0,0,0,0,69.99
cea09385602d46319ab142255e46c7d4,1,0,1,1,0,0,1,0,1,0,0,0,274,,28,0,0,0,0,0,0,149.99
c3854efbfa8043d9b6c96addb138eb21,1,0,1,1,0,0,1,0,1,0,0,0,242,,21,0,0,0,0,0,0,69.99
8a8917729d164773b6ee7bfaa9fb8b39,1,0,1,1,0,0,1,0,1,0,0,0,201,,23,0,0,0,0,0,0,69.99
47d49e702d6b49338ac6405e36f9aabd,1,0,1,1,0,0,1,0,1,0,0,0,153,,10,0,0,0,0,0,0,1
f2fa1390238c43e59817749cc38b47c4,1,0,1,1,0,0,1,0,1,0,0,0,135,,12,0,0,0,0,0,0,149.99
e4282f255a6547eabe64e3da3205cbdf,1,0,1,1,0,0,1,0,1,0,0,0,128,,9,0,0,0,0,0,0,69.99
67beec628d354625bf648c5c4f71596a,1,0,1,1,0,0,1,0,1,0,0,0,121,,22,0,0,0,0,0,0,14.99
9e2e606e955947019ce5a774437eb43b,1,0,1,1,0,0,1,0,1,0,0,0,36,,87,0,0,0,0,0,0,6.99
ba5e8670813b4c0e894adb72d74118bc,1,0,1,1,0,0,1,0,1,0,0,0,30,,5,0,0,0,0,0,0,149.99
27dad47b80224849b6979d093580459f,1,0,1,1,0,0,1,0,1,0,0,0,29,,5,0,0,0,0,0,0,69.99
3865804bc4d44248923f029a81591b40,1,0,1,1,0,0,1,0,1,0,0,0,25,,12,0,0,0,0,0,0,249.99
c782628eff1f423fb8182bffcdd9e23a,1,0,1,1,0,0,1,0,1,0,0,0,9,,6,0,0,0,0,0,0,6.99
4567e0c9f3d745cc82a8bc332b7d98bc,1,0,1,1,0,0,1,0,1,0,0,0,,,3,0,0,0,0,0,0,149.99
ab5d4c73b1a94fd0be02f0dafa59f042,1,0,1,1,0,0,1,0,1,0,0,0,,,1,0,0,0,0,0,0,14.99
5fdd81657399430bbad19123dd06512d,1,0,1,1,0,0,1,0,0,1,0,0,2252,45,110,0,1,0,0,2,0,14.99
db09f2217dc78a47aeea2a6f671f1e8b,1,0,1,1,0,0,1,0,0,1,0,0,398,,30,0,0,0,0,0,0,69.99
9a1f863916a649b7b0cdbf2a55099208,1,0,1,1,0,0,1,0,0,1,0,0,300,51,33,0,0,0,0,1,0,6.99
3e88998b79044265a6f19c13f8ee8c59,1,0,1,1,0,0,1,0,0,1,0,0,195,3,5,0,0,0,0,0,0,48.99
671160142a754bd89df5233ac3e91d1c,1,0,1,1,0,0,1,0,0,1,0,0,132,,14,0,0,0,0,0,0,9.99
b76b514688fc4af98ebd7d0762d6d79c,1,0,1,1,0,0,1,0,0,1,0,0,13,,6,0,0,0,0,0,0,48.99
9db3ce34c2574cc79f42e046d7d06c35,1,0,1,1,0,0,1,0,0,1,0,0,,,0,0,0,0,0,0,0,69.99
df83909c25694814992d02b0b8f9f420,1,0,1,1,0,0,1,0,0,0,1,0,1974,,96,0,0,0,0,0,0,69.99
6a09185be3474e879faecc9ff030ef33,1,0,1,1,0,0,1,0,0,0,1,0,1855,8.5,51,0,0,0,0,1,0,69.99
73b19a75508a4a00a90757bf718c9106,1,0,1,1,0,0,1,0,0,0,1,0,1145,641,39,0,0,0,0,0,0,6.99
ef4f1fe06719464fb43253b1537585c9,1,0,1,1,0,0,1,0,0,0,1,0,546,18,46,0,0,0,0,0,0,99.99000000000001
6026100645464139975cfff79b77cd32,1,0,1,1,0,0,1,0,0,0,1,0,540,37,33,0,0,0,0,1,3,6.99
77ce90d7cd2e44e99d3419cd8006dc97,1,0,1,1,0,0,1,0,0,0,1,0,373,17,30,0,0,0,0,1,0,99.99000000000001
14c9b75ea92246558986ad98334dfd28,1,0,1,1,0,0,1,0,0,0,1,0,258,34,69,0,0,0,0,3,0,69.99
d21f36a5960a41029d7b717f03faa727,1,0,1,1,0,0,1,0,0,0,1,0,203,,9,0,0,0,0,0,0,6.99
181bcc59f7534e23bc7ce2fddbc2f4bc,1,0,1,1,0,0,1,0,0,0,1,0,93,,14,0,0,0,0,0,0,249.99
46373153b00b45fdaa3cce5157d5b732,1,0,1,1,0,0,1,0,0,0,1,0,91,,14,0,0,0,0,0,0,149.99
7de21ade5c9343b2bf69c2bbb452f3d2,1,0,1,1,0,0,1,0,0,0,1,0,66,29,12,0,0,0,0,0,0,69.99
e47c1d4b195a4b58b1484f1f7d982b89,1,0,1,1,0,0,1,0,0,0,1,0,11,,4,0,0,0,0,0,0,6.99
96f0f5b233864ae1a99d74bdf3990658,1,0,1,1,0,0,1,0,0,0,1,0,10,,5,0,0,0,0,0,0,69.99
dc65f4b22dde4fbea5ef6e47b1b10f96,1,0,1,1,0,0,1,0,0,0,0,1,2449,,42,0,0,0,0,0,0,99.99000000000001
107ff49b60b64fd38270a097127fbf7d,1,0,1,1,0,0,1,0,0,0,0,1,2349,343,19,0,0,0,0,0,0,69.99
8ecff130a34c422780573c82dfe7c11f,1,0,1,1,0,0,1,0,0,0,0,1,1768,,5,0,0,0,0,0,0,69.99
305de84f020444e99056f566cf4f53dd,1,0,1,1,0,0,1,0,0,0,0,1,1368,,14,0,0,0,0,0,0,6.99
9e06a776f2c24b498a4aaf2435988fc9,1,0,1,1,0,0,1,0,0,0,0,1,1364,,6,0,0,0,0,0,0,69.99
