,0
Paid Order Exists,0.18137254901960784
Try Exists,0.05392156862745098
Device Orders_Office,0.00980392156862745
Total Visits,1.5392156862745099
New Visitors,0.5
Return Visitors,0.5
Enter PDP from Office.com,0.14705882352941177
Enter PDP from Store,0.43137254901960786
Enter PDP from O365 Web,0.47549019607843135
Time Spent per Visit (seconds),725.841609975034
Average Time Spent on Page (seconds),134.27436125969118
Link Clicks (e4),32.0735294117647
Link Clicks on OverviewTab,0.004901960784313725
Link Clicks on TechSpecsTab,0.0392156862745098
Link Clicks on ReviewTab,0.004901960784313725
Link Clicks on FAQTab,0.014705882352941176
Link Clicks on AddtoCartButton,0.3333333333333333
Link Clicks on Trial link,0.0392156862745098
cluster4,1.0
