,0
Paid Order Exists,0.038461538461538464
Try Exists,0.0
Device Orders_Office,0.0
Total Visits,1.1923076923076923
New Visitors,0.4230769230769231
Return Visitors,0.5769230769230769
Enter PDP from Office.com,0.07692307692307693
Enter PDP from Store,0.34615384615384615
Enter PDP from O365 Web,0.38461538461538464
Time Spent per Visit (seconds),713.675
Average Time Spent on Page (seconds),96.725
Link Clicks (e4),33.88461538461539
Link Clicks on OverviewTab,0.038461538461538464
Link Clicks on TechSpecsTab,0.07692307692307693
Link Clicks on ReviewTab,0.07692307692307693
Link Clicks on FAQTab,0.038461538461538464
Link Clicks on AddtoCartButton,0.19230769230769232
Link Clicks on Trial link,0.07692307692307693
cluster4,2.0
