#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
b591bbde6e0f465b9b6884e2a44b4844,1,1,1,0,0,1,0,742,742,30,0,0,0,0,0
5d4c0346f4de4c56ad56fd0fdce9dc04,1,1,1,0,0,1,0,735,367.5,45,0,0,0,0,0
f71d86c3c4f7454c9fa2ff34e17fe620,1,1,1,0,0,1,0,734,367,14,0,0,0,0,0
93bb2cb232044cd89c29652778b9526e,1,1,1,0,0,1,0,731,81.22222222222223,18,0,0,0,0,0
3f421a5fd7374accbe94d1e01dcca474,1,1,1,0,0,1,0,727,363.5,41,0,0,0,0,1
756bc0890f9d4d6f98047ae8fd00b4f6,1,1,1,0,0,1,0,713,356.5,77,0,0,0,0,0
e9dc4780eac74a119f54f5775f84b08d,1,1,1,0,0,1,0,706,706,28,0,0,0,0,0
639092e6c4a54f2d8b081b1aa7b575a3,1,1,1,0,0,1,0,705,705,12,0,0,0,0,0
494f712d10514345bbd0e8e27d9169f8,1,1,1,0,0,1,0,703,703,48,0,0,0,0,0
de9c40897b0141d2aa942759f0d7ffb6,1,1,1,0,0,1,0,703,703,25,0,0,0,0,0
a929050728b944a0af2c83eb91d18d7f,1,1,1,0,0,1,0,697,139.4,19,0,0,0,0,0
122f9523a4a04dab87128b8134544580,1,1,1,0,0,1,0,695,695,62,0,0,0,0,1
44e5edda2b9f488f8fbaca5c5ceccb9b,1,1,1,0,0,1,0,685,685,23,0,0,0,0,0
43b3486dd01041218f74f41340131e0e,1,1,1,0,0,1,0,684,36,35,0,0,0,0,0
82195e98596e47c49a45f370ecf3f48a,1,1,1,0,0,1,0,677,28.208333333333332,47,0,0,0,0,0
010dd8376292450eb891b10d3fc0b57a,1,1,1,0,0,1,0,674,674,27,0,0,0,0,1
d4b5cc62dd8d4b64b5edd62feaed884a,1,1,1,0,0,1,0,671,671,24,0,0,0,0,0
f600b3c2de5a42c7ab750d6e3377164f,1,1,1,0,0,1,0,658,658,17,0,0,0,0,0
c37b45a666614f39ac6de4b989709ca6,1,1,1,0,0,1,0,641,641,66,0,0,0,0,0
81be879409e94ab6a2480d7330ea5853,1,1,1,0,0,1,0,638,638,36,0,0,0,0,0
b8397a8887544fc6b0ae6e6933249c8b,1,1,1,0,0,1,0,624,624,43,0,0,0,0,1
8c28f44e88244cd3af4e0857812f6991,1,1,1,0,0,1,0,623,623,30,0,0,0,0,0
ba42022d31c74b8980d4f6710414d8ac,1,1,1,0,0,1,0,623,207.66666666666666,108,0,0,0,0,0
f0f8c26601c1469ebcfe2fd1a17ea84d,1,1,1,0,0,1,0,618,44.142857142857146,41,0,0,0,0,2
6d4ec91997af4adcb83016f6c26e436f,1,1,1,0,0,1,0,615,615,30,0,0,0,0,1
93818e3d6afa4e3cbc05430fdfa243de,1,1,1,0,0,1,0,613,613,24,0,0,0,0,0
7f39e037d01342bd9ca226da56558584,1,1,1,0,0,1,0,603,603,9,0,0,0,0,0
534674929edd5c408b7cd3e3f8998993,1,1,1,0,0,1,0,600,200,30,0,0,0,1,0
9c75fe15c78e4a0ebba74c814862dee9,1,1,1,0,0,1,0,589,589,43,0,0,0,0,0
fff6e79b5da84e75997241abfad92287,1,1,1,0,0,1,0,589,15.5,70,0,0,0,0,0
0df048b31a0746d585695d5429e49dcc,1,1,1,0,0,1,0,585,585,25,0,0,0,0,0
43e9f127d3c24a458c8b5a69ee90125e,1,1,1,0,0,1,0,581,581,65,0,0,0,0,1
217f1e7ed09f49abaf82fc26964c679d,1,1,1,0,0,1,0,579,144.75,83,0,0,0,0,0
5c472a31c8a440329f28af88f4de6494,1,1,1,0,0,1,0,575,575,33,0,0,0,0,0
50dfc44d4da747fb8ede277c8c597dd0,1,1,1,0,0,1,0,572,286,22,0,0,0,0,0
d0de53e060114ae7877c218ad757d637,1,1,1,0,0,1,0,569,569,28,0,0,0,0,1
6a79a749b75c416c8100de29f4d0b916,1,1,1,0,0,1,0,567,283.5,256,0,0,0,0,0
cf87d7180f4a4fd194532f5ac9e4d3ae,1,1,1,0,0,1,0,554,554,40,0,0,0,0,0
c69d15350bd344128c07fbcd3071fb49,1,1,1,0,0,1,0,553,276.5,15,0,0,0,0,0
d0eb917a34b14816ba76dc5fd2e32004,1,1,1,0,0,1,0,551,551,74,0,0,0,0,0
5589228e9bac4defb5a30292da98d917,1,1,1,0,0,1,0,550,550,40,0,0,0,0,0
159fa9b886f0412baaf82e1a35f6f8a5,1,1,1,0,0,1,0,550,550,28,0,0,0,0,0
1e010aa3628b4efb8619b68d551faa40,1,1,1,0,0,1,0,543,67.875,51,0,0,0,0,0
